"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B17011_001E","Estimate!!Aggregate income deficit in the past 12 months:"
"B17011_001M","Margin of Error!!Aggregate income deficit in the past 12 months:"
"B17011_002E","Estimate!!Aggregate income deficit in the past 12 months:!!Married-couple family"
"B17011_002M","Margin of Error!!Aggregate income deficit in the past 12 months:!!Married-couple family"
"B17011_003E","Estimate!!Aggregate income deficit in the past 12 months:!!Other family:"
"B17011_003M","Margin of Error!!Aggregate income deficit in the past 12 months:!!Other family:"
"B17011_004E","Estimate!!Aggregate income deficit in the past 12 months:!!Other family:!!Male householder, no spouse present"
"B17011_004M","Margin of Error!!Aggregate income deficit in the past 12 months:!!Other family:!!Male householder, no spouse present"
"B17011_005E","Estimate!!Aggregate income deficit in the past 12 months:!!Other family:!!Female householder, no spouse present"
"B17011_005M","Margin of Error!!Aggregate income deficit in the past 12 months:!!Other family:!!Female householder, no spouse present"
