X,Y,objectid,name,address,city,zipcode,island,phone_num,license_exp,license_num
-157.848742954927,21.3231160369162,1,15 Craigside,15 Craigside Place,Honolulu,96817,Oahu,8085237000,2022/06/30 00:00:00+00,16-ALF
-157.833432608366,21.3016968094431,2,Arcadia Retirement Residence,1434 Punahou Street,Honolulu,96822,Oahu,8089410941,2023/08/31 00:00:00+00,1-ALF
-157.71605573834,21.2925950227118,3,Hawaii Kai Retirement Comm Phase I and II,428 Kawaihae Street,Honolulu,96825,Oahu,8083959599,2022/04/30 00:00:00+00,12-ALF
-157.783141420235,21.2803932632935,4,Hi'olani Assisted Living Center at Kahala Nui,4389 Malia Street,Honolulu,96821,Oahu,8082187000,2023/05/31 00:00:00+00,10-ALF
-158.074612730832,21.3304924708592,5,Ilima at Leihano,739 Leihano Street,Kapolei,96707,Oahu,8086748022,2022/08/31 00:00:00+00,20-ALF
-157.836205230966,21.2914468394365,6,Kalakaua Gardens,1723 Kalakaua Avenue,Honolulu,96826,Oahu,8085182273,2022/09/30 00:00:00+00,21-ALF
-157.836767896954,21.2990903001748,7,One Kalakaua Senior Living,1314 Kalakaua Avenue,Honolulu,96826,Oahu,8089834400,2023/04/30 00:00:00+00,4-ALF
-157.784504039557,21.4015934391106,8,Pohai Nani Good Samaritan,45-090 Namoku Street,Kaneohe,96744,Oahu,8082476211,2023/05/31 00:00:00+00,7-ALF
-159.38739446768,21.9661133897243,9,"Regency at Puakea, L.L.C.",2130 Kaneka Street,Lihue,96766,Kauai,8082464449,2023/07/31 00:00:00+00,9-ALF
-155.988221305978,19.6373681380415,10,Regency Hualalai,75-181 Hualalai Road,Kailua-Kona,96740,Big Island,8083297878,2023/07/31 00:00:00+00,22-ALF
-156.484300685762,20.8869588051028,11,Roselani Place Assisted Living Facility,88 South Papa Avenue,Kahului,96732,Maui,8088717720,2023/10/31 00:00:00+00,6-ALF
-157.807084680912,21.4189031503403,12,The Plaza at Kaneohe,46-068 Alaloa Street,Kaneohe,96744,Oahu,8086287604,2023/07/31 00:00:00+00,23-ALF
-158.00515601169,21.470102217786,13,The Plaza at Mililani,95-1050 Ukuwai Street,Mililani,96789,Oahu,8086268807,2023/04/30 00:00:00+00,14-ALF
-157.90177168698,21.3659272165507,14,The Plaza at Moanalua,1280 Moanalualani Place,Honolulu,96818,Oahu,8088338880,2022/10/31 00:00:00+00,15-ALF
-157.977970853414,21.3976975245049,15,The Plaza at Pearl City,1048 Kuala Street,Pearl City,96782,Oahu,8084558808,2022/12/31 00:00:00+00,18-ALF
-157.847825912327,21.3056935373437,16,The Plaza at Punchbowl,918 Lunalilo Street,Honolulu,96825,Oahu,8087928800,2021/12/31 00:00:00+00,8-ALF
-157.83521905129,21.2897604277485,17,The Plaza at Waikiki,1812 Kalakaua Avenue,Honolulu,96813,Oahu,8089550800,2022/09/30 00:00:00+00,19-ALF
