X,Y,objectid,name,island,mailing_address,physical_address,phone,alt_phone,fax,poc,website,medicare,inpatient,provider_num
-157.863586499919,21.309119999785,1,"BRISTOL HOSPICE – HAWAII, LLC",OAHU,"55 Merchant Street, Suite 2900, Honolulu, Hawaii  96813","55 Merchant Street, Suite 2900, Honolulu, Hawaii  96813",(808) 536-8012,,(808) 536-8013,"Tara DeMarco, Executive Director",https://bristolhospice-hawaii.com/,Yes,,121508
-157.019799951563,21.090084137557,2,HOSPICE HAWAII-MOLOKA’I (EXTENSION UNIT),MOLOKAI,"P.O. Box 408, Kaunakakai, Hawaii  96748","28 Kamoi Street, Suite 700, Kaunakakai, Hawaii  96748",(808) 553-4310,,(808) 553-3183,"Cathy Karras, LPN",https://www.nhpco.org/providers/hospice-hawaii-molokai,Yes,,121501
-156.490899720703,20.8830055533728,3,HOSPICE MAUI,MAUI,"400 Mahalani Street, Wailuku, Hawaii  96793","400 Mahalani Street, Wailuku, Hawaii  96793",(808) 244-5555,,(808) 244-5557,"R. Gregory Lagoy, Executive Director",https://www.hospicemaui.org/,Yes,Yes,121504
-155.10657420801,19.7172149222949,4,HOSPICE OF HILO,HAWAII,"1011 Waianuenue Avenue, Hilo, Hawaii  96720","1011 Waianuenue Avenue, Hilo, Hawaii  96720",(808) 969-1733,,(808) 969-4863,Brenda Ho,https://www.hawaiicarechoices.org/,Yes,Yes,121503
-155.984853610289,19.6279326868288,5,HOSPICE OF KONA,HAWAII,"P.O. Box 4130, Kailua-Kona, Hawaii  96745-4130","75-5925 Walua Road, Suite 101, Kailua-Kona, Hawaii  96740",(808) 324-7700,,(808) 324-7722,"Laura Varney, Executive Director",https://hospiceofkona.org/,Yes,,121505
-157.861957500044,21.304979999675,6,ISLANDS HOSPICE,OAHU,"820 Mililani Street, Suite 400, Honolulu, Hawaii 96813","820 Mililani Street, Suite 400, Honolulu, Hawaii 96813",(808) 550-2552,,(808) 550-2551,"Trish Arredondo, Executive Director/Administrator",https://www.islandshospice.com/,Yes,Yes,121509
-159.384250399652,21.9695105057238,7,KAUAI HOSPICE,KAUAI,"P.O. Box 3286, Lihue, Hawaii  96766","4457 Pahe’e Street, Lihue, Hawaii  96766",(808) 245-7277,,(808) 245-5006,"Lori J. Miller, Executive Director",http://kauaihospice.org/,Yes,,121507
-157.786335000389,21.3040889997394,8,MALAMA OLA HEALTH SERVICES LLC,OAHU,"2459 10th Avenue, Upper Cottage, Honolulu, Hawaii 96816","2459 10th Avenue, Upper Cottage, Honolulu, Hawaii 96816",(808) 543-1188,,(808) 543-1189,"Michael Duick, MD, Executive Director",https://malamaolacares.com/,Yes,,121511
-155.67784538463,20.0227342501964,9,"NORTH HAWAII HOSPICE, INC.",HAWAII,"65-1328 Kawaihae Road, Kamuela, Hawaii  96743","65-1328 Kawaihae Road, Kamuela, Hawaii  96743",(808) 885-7547,,(808) 885-5592,"Katherine Werner Ciano, MHA, BSN, Executive Director",https://northhawaiihospice.org/,Yes,,121506
-157.733002687116,21.3878845928689,10,NAVIAN HAWAII,OAHU,"860 Iwilei Road, Honolulu, Hawaii 96817","Inpatient Location, 566 Papalani Street, Kailua, Hawaii 96734",(808) 924-9255,,(808) 922-9161,"Tori Abe Carapelho, President & CEO",https://www.navianhawaii.org,Yes,Yes,121501
-157.837342499652,21.3366419998147,11,ST. FRANCIS HOSPICE,OAHU,"24 Puiwa Road, Honolulu, Hawaii  96817","24 Puiwa Road, Honolulu, Hawaii  96817",(808) 595-7566,,(808) 595-6996,"Holly Davis, MS, APRN, Executive Director",https://www.stfrancishawaii.org/services/hospice,Yes,Yes,121500
